,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
0,bdr,NVDC34.SA,NVIDIA CORP DRN,26.69,2021-03-10,2021-11-25,260 days,102.84,2022-01-21,3 days,-1.93,1.15,-1.88,3.03,-0.92,257,104.77,-64.39,40.77,True,False
1,bdr,SSFO34.SA,SALESFORCE  DRN,56.3,2021-05-19,2021-11-04,169 days,43.46,2022-01-21,3 days,1.6,1.78,3.68,1.9,4.08,166,41.86,53.25,25.22,True,False
2,bdr,MSFT34.SA,MICROSOFT   DRN,67.94,2020-12-10,2021-12-29,384 days,62.61,2022-01-21,3 days,-1.07,0.78,-1.71,2.49,-1.15,381,63.68,-35.74,16.71,True,False
3,bdr,CMCS34.SA,COMCAST     DRN,55.0,2021-06-24,2021-09-06,74 days,16.92,2021-12-09,46 days,1.95,62.16,11.53,50.63,0.23,28,14.97,4.24,53.46,True,False
4,bdr,BERK34.SA,BERKSHIRE   DRN,84.0,2021-06-30,2022-01-10,194 days,29.65,2021-09-22,124 days,15.53,63.92,52.39,11.53,4.97,70,14.12,12.53,20.17,True,False
5,bdr,B1NT34.SA,BIONTECH SE DRN,105.0,2021-10-06,2021-11-29,54 days,45.0,2022-01-21,3 days,-0.76,5.56,-1.7,7.25,-0.27,51,45.76,-25.45,89.73,True,False
6,bdr,TSLA34.SA,TESLA INC   DRN,159.01,2021-06-04,2021-11-04,153 days,84.43,2022-01-24,0 days,-0.7,0.0,-0.83,0.83,-4.83,153,85.13,-inf,55.64,True,False
7,bdr,PFIZ34.SA,PFIZER      DRN,71.48,2021-10-15,2021-12-20,66 days,46.21,2022-01-24,0 days,-1.09,0.0,-2.37,2.37,-1.73,66,47.3,-inf,71.67,True,False
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,72.75,2021-06-24,2021-12-29,188 days,41.1,2022-01-19,5 days,-1.44,2.66,-3.5,6.16,-0.68,183,42.54,-28.75,23.25,True,False
9,bdr,CHCM34.SA,CHARTER COMMDRN,52.7,2021-06-16,2021-08-23,68 days,26.5,2022-01-21,3 days,1.51,4.41,5.69,1.28,20.45,65,24.99,50.26,38.45,True,False
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.29,2020-11-06,2022-01-18,438 days,91.05,2021-09-01,145 days,37.89,33.11,41.62,8.51,5.54,293,53.16,26.13,18.14,False,True
11,bdr,U1BE34.SA,UBER TECH INDRN,49.81,2021-09-15,2021-10-08,23 days,26.01,2022-01-21,3 days,-3.75,13.04,-14.43,27.47,-0.55,20,29.77,-125.13,148.83,True,False
12,bdr,GOGL34.SA,ALPHABET    DRN A,95.77,2021-05-18,2021-12-23,219 days,34.72,2022-01-21,3 days,-0.64,1.37,-1.84,3.21,-0.83,216,35.36,-21.35,16.37,True,False
13,bdr,FBOK34.SA,META PLAT   DRN,60.19,2021-01-14,2021-09-08,237 days,42.81,2022-01-21,3 days,-1.92,1.27,-4.49,5.76,-0.94,234,44.73,-64.14,19.12,True,False
14,bdr,N1DA34.SA,NASDAQ INC  DRN,481.0,2020-12-15,2021-10-29,318 days,68.22,2022-01-24,0 days,-0.82,0.0,-1.21,1.21,-5.78,318,69.04,-inf,21.71,True,False
15,bdr,AAPL34.SA,APPLE       DRN,88.75,2021-10-04,2022-01-03,91 days,31.46,2022-01-24,0 days,-0.24,0.0,-0.75,0.75,-3.01,91,31.69,-inf,34.83,True,False
16,bdr,COCA34.SA,COCA COLA   DRN,54.7,2021-06-29,2022-01-05,190 days,29.39,2021-10-01,115 days,14.9,60.53,50.72,9.81,5.76,75,14.48,12.96,19.31,True,False
17,bdr,ULEV34.SA,UNILEVER    DRN,295.07,2021-09-17,2022-01-05,110 days,8.33,2022-01-21,3 days,9.9,2.73,118.85,116.12,1.03,107,-1.57,330.05,-1.47,False,True
18,bdr,DISB34.SA,WALT DISNEY DRN,50.19,2021-08-10,2021-10-07,58 days,6.94,2022-01-21,3 days,-5.8,5.17,-83.58,88.76,-0.95,55,12.74,-193.38,23.17,False,False
19,bdr,BIDU34.SA,BAIDU INC   DRN,812.7,2021-08-19,2021-10-21,63 days,29.89,2021-12-03,52 days,-1.33,82.54,-4.45,86.99,-0.05,11,31.22,-2.56,283.83,True,False
20,bdr,AMZO34.SA,AMAZON      DRN,101.24,2021-08-17,2021-11-19,94 days,18.3,2022-01-21,3 days,-3.52,3.19,-19.21,22.4,-0.9,91,21.81,-117.17,23.97,False,False
21,bdr,NFLX34.SA,NETFLIX     DRN,42.1,2021-06-10,2021-10-29,141 days,47.56,2022-01-24,0 days,-2.77,0.0,-5.83,5.83,-1.21,141,50.33,-inf,35.69,False,False
22,bdr,BKNG34.SA,BOOKING     DRN,73.7,2021-06-29,2021-11-08,132 days,31.35,2022-01-21,3 days,-2.31,2.27,-7.36,9.64,-0.85,129,33.66,-76.96,26.1,True,False
23,bdr,M1RN34.SA,MODERNA INC DRN,87.29,2021-11-19,2021-11-29,10 days,42.04,2022-01-21,3 days,-4.21,30.0,-10.02,40.02,-0.26,7,46.26,-140.46,660.81,True,False
24,bdr,MELI34.SA,MERCADOLIBREDRN,46.6,2021-06-08,2021-09-08,92 days,43.29,2022-01-24,0 days,-2.9,0.0,-6.69,6.69,-1.18,92,46.19,-inf,50.2,True,False
25,bdr,TEXA34.SA,TEXAS INC   DRN,65.08,2021-06-23,2021-10-21,120 days,22.52,2022-01-20,4 days,0.11,3.33,0.51,2.82,0.28,116,22.41,2.86,19.32,True,False
26,bdr,JNJB34.SA,JOHNSON     DRN,59.53,2021-09-22,2022-01-05,105 days,14.22,2022-01-24,0 days,-1.03,0.0,-7.25,7.25,-1.16,105,15.25,-inf,14.52,True,False
27,bdr,FCXO34.SA,FREEPORT    DRN,219.68,2021-06-29,2022-01-13,198 days,37.69,2021-12-16,39 days,5.14,19.7,13.63,6.07,2.69,159,32.56,13.17,20.48,False,False
28,bdr,A1MD34.SA,ADVANCED MICDRN,634.98,2021-09-29,2021-11-29,61 days,52.66,2022-01-24,0 days,-2.31,0.0,-4.39,4.39,-1.3,61,54.97,-inf,90.12,True,False
29,bdr,COTY34.SA,COTY INC    DRN,23.03,2021-08-17,2022-01-04,140 days,40.89,2022-01-21,3 days,-0.99,2.14,-2.42,4.56,-0.68,137,41.88,-32.96,30.57,True,False
30,bdr,FDXB34.SA,FEDEX CORP  DRN,1326.6,2021-10-04,2022-01-05,93 days,23.74,2022-01-24,0 days,-3.07,0.0,-12.94,12.94,-1.08,93,26.81,-inf,28.83,False,False
31,bdr,UPSS34.SA,UPS         DRN,68.9,2021-12-01,2022-01-04,34 days,9.5,2022-01-24,0 days,-0.01,0.0,-0.15,0.15,-0.18,34,9.52,-inf,27.99,True,False
32,bdr,COWC34.SA,COSTCO      DRN,67.04,2021-03-18,2021-12-29,286 days,59.52,2022-01-21,3 days,1.67,1.05,2.81,1.76,3.71,283,57.85,55.68,20.44,True,False
33,bdr,UPAC34.SA,UNIONPACIFICDRN,345.44,2021-10-01,2022-01-05,96 days,30.31,2022-01-24,0 days,0.0,0.0,0.0,0.0,0.0,96,30.31,,31.57,True,False
34,bdr,CSXC34.SA,CSX CORP    DRN,93.73,2021-10-13,2022-01-07,86 days,16.67,2022-01-21,3 days,-2.97,3.49,-17.82,21.31,-0.88,83,19.64,-99.03,23.67,False,False
35,bdr,N1SC34.SA,NORFOLK SOUTDRN,374.02,2021-06-22,2021-12-29,190 days,21.95,2022-01-24,0 days,-2.37,0.0,-10.8,10.8,-1.1,190,24.32,-inf,12.8,True,False
36,bdr,CSCO34.SA,CISCO       DRN,62.52,2020-11-06,2021-12-29,418 days,64.09,2022-01-21,3 days,-1.2,0.72,-1.87,2.59,-1.18,415,65.29,-40.04,15.73,True,False
37,bdr,MCDC34.SA,MCDONALDS   DRN,69.52,2020-12-11,2021-12-29,383 days,42.53,2022-01-20,4 days,-0.24,1.04,-0.56,1.61,-0.93,379,42.77,-5.98,11.28,True,False
38,bdr,WALM34.SA,WAL MART    DRN,48.15,2021-10-04,2021-11-01,28 days,14.31,2022-01-21,3 days,-0.39,10.71,-2.73,13.44,-0.22,25,14.7,-13.02,58.79,True,False
39,bdr,S2HO34.SA,SHOPIFY INC DRN,43.04,2021-10-04,2021-11-19,46 days,28.98,2022-01-21,3 days,-7.22,6.52,-24.9,31.42,-0.82,43,36.19,-240.51,84.16,True,False
40,bdr,EBAY34.SA,EBAY        DRN,161.62,2021-08-17,2021-10-22,66 days,14.19,2022-01-24,0 days,-0.87,0.0,-6.14,6.14,-1.19,66,15.07,-inf,22.83,True,False
41,bdr,AVGO34.SA,BROADCOM INCDRN,84.91,2021-06-24,2021-12-23,182 days,87.41,2022-01-21,3 days,-1.36,1.65,-1.55,3.2,-0.71,179,88.77,-45.19,49.59,True,False
42,bdr,VERZ34.SA,VERIZON     DRN,48.61,2021-08-03,2022-01-05,155 days,9.47,2021-12-08,47 days,3.46,30.32,36.51,6.18,7.04,108,6.01,7.35,5.57,True,False
43,bdr,P2IN34.SA,PINTERESTINCDRN,26.7,2021-10-11,2021-10-20,9 days,22.25,2022-01-21,3 days,-9.77,33.33,-43.9,77.23,-0.58,6,32.02,-325.56,533.62,True,False
44,bdr,ARMT34.SA,ARCELOR     DRN,83.35,2021-09-21,2022-01-13,114 days,30.55,2021-11-30,55 days,8.74,48.25,28.61,19.64,1.54,59,21.81,15.89,36.97,False,False
45,bdr,VRTX34.SA,VERTEX PHARMDRN,311.55,2021-06-22,2022-01-17,209 days,32.18,2021-10-04,112 days,25.94,53.59,80.6,27.01,3.1,97,6.24,23.16,6.44,True,False
46,bdr,FDMO34.SA,FORD MOTORS DRN,112.16,2021-05-12,2022-01-13,246 days,91.01,2022-01-24,0 days,0.58,0.0,0.64,0.64,1.78,246,90.43,inf,36.76,True,False
47,bdr,CATP34.SA,CATERPILLAR DRN,73.16,2021-09-21,2022-01-17,118 days,27.28,2021-12-01,54 days,4.53,45.76,16.61,29.15,0.59,64,22.75,8.39,35.54,True,False
48,bdr,ABUD34.SA,AB INBEV    DRN,58.2,2021-09-15,2022-01-17,124 days,24.0,2021-11-30,55 days,8.53,44.35,35.53,8.82,4.54,69,15.47,15.51,22.43,True,False
49,bdr,WFCO34.SA,WELLS FARGO DRN,73.52,2021-06-18,2022-01-17,213 days,44.93,2021-09-01,145 days,25.35,68.08,56.42,11.66,5.29,68,19.58,17.48,28.8,True,False
50,cambio,USDBRL=X,USD/BRL,5.5,2021-09-10,2021-12-22,103 days,7.94,2022-01-24,1 days,1.5,0.97,18.86,17.88,1.12,102,6.44,149.68,6.31,True,False
51,cambio,EURBRL=X,EUR/BRL,6.22,2021-11-16,2021-12-22,36 days,3.74,2022-01-24,1 days,1.44,2.78,38.57,35.79,1.11,35,2.3,144.32,6.57,True,False
52,cambio,EURUSD=X,EUR/USD,1.13,2021-08-20,2021-09-07,18 days,1.46,2021-11-25,60 days,0.88,333.33,60.36,272.97,0.22,-42,0.58,1.47,-1.38,True,False
53,cripto,BTC-USD,Bitcoin USD,36393.77,2021-09-21,2021-11-08,48 days,48.66,2022-01-25,0 days,-0.71,0.0,-1.46,1.46,-3.17,48,49.37,-inf,102.85,True,False
54,cripto,LTC-USD,Litecoin USD,108.42,2021-09-28,2021-11-14,47 days,69.78,2022-01-25,0 days,-1.07,0.0,-1.54,1.54,-2.86,47,70.86,-inf,150.76,True,False
55,cripto,ETH-USD,Ethereum USD,2423.67,2021-09-21,2021-11-08,48 days,52.66,2022-01-25,0 days,-0.68,0.0,-1.3,1.3,-4.35,48,53.34,-inf,111.14,True,False
