,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
0,bdr,NVDC34.SA,NVIDIA CORP DRN,28.21,2021-05-13,2021-11-25,196 days 00:00:00.000000000,99.77,2022-03-14,10 days 00:00:00.000000000,19.22,5.1,19.27,14.17,1.46,186,80.55,192.24,43.3,False,True,66.35
1,bdr,SSFO34.SA,SALESFORCE  DRN,47.33,2021-05-19,2021-11-04,169 days 00:00:00.000000000,43.46,2022-02-23,29 days 00:00:00.000000000,6.4,17.16,14.73,-2.43,4.29,140,37.06,22.07,26.47,False,True,52.47
2,bdr,MSFT34.SA,MICROSOFT   DRN,61.26,2021-06-02,2021-12-29,210 days 00:00:00.000000000,45.08,2022-03-08,16 days 00:00:00.000000000,2.89,7.62,6.42,-1.2,2.91,194,42.19,18.08,21.75,False,True,51.42
3,bdr,CMCS34.SA,COMCAST     DRN,45.0,2021-12-09,2022-01-17,39 days 00:00:00.000000000,7.5,2022-02-23,29 days 00:00:00.000000000,-4.49,74.36,-59.96,-134.32,-0.44,10,11.99,-15.5,119.92,True,False,33.84
4,bdr,BERK34.SA,BERKSHIRE   DRN,84.89,2021-09-22,2022-01-10,110 days 00:00:00.000000000,22.87,2022-02-23,29 days 00:00:00.000000000,7.04,26.36,30.78,4.41,9.02,81,15.83,24.27,19.55,False,True,59.97
5,bdr,B1NT34.SA,BIONTECH SE DRN,102.86,2021-10-06,2021-11-29,54 days 00:00:00.000000000,45.0,2022-03-07,17 days 00:00:00.000000000,20.15,31.48,44.77,13.29,3.64,37,24.85,118.52,67.17,False,True,63.26
6,bdr,TSLA34.SA,TESLA INC   DRN,152.8,2021-06-04,2021-11-04,153 days 00:00:00.000000000,84.43,2022-02-23,29 days 00:00:00.000000000,18.45,18.95,21.85,2.9,11.53,124,65.98,63.61,53.21,False,True,68.68
7,bdr,PFIZ34.SA,PFIZER      DRN,63.26,2021-10-15,2021-12-20,66 days 00:00:00.000000000,46.21,2022-03-08,16 days 00:00:00.000000000,4.72,24.24,10.21,-14.03,0.68,50,41.49,29.5,82.98,False,True,56.19
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,70.6,2021-10-04,2021-12-29,86 days 00:00:00.000000000,32.49,2022-02-23,29 days 00:00:00.000000000,6.95,33.72,21.38,-12.34,1.6,57,25.54,23.95,44.81,False,True,47.55
9,bdr,CHCM34.SA,CHARTER COMMDRN,45.05,2021-12-09,2022-01-03,25 days 00:00:00.000000000,6.21,2022-03-23,1 days 00:00:00.000000000,-3.57,4.0,-57.56,-61.56,-0.92,24,9.78,-357.41,40.77,True,False,44.88
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.29,2021-09-01,2022-03-08,188 days 00:00:00.000000000,49.67,2022-02-24,28 days 00:00:00.000000000,5.79,14.89,11.66,-3.23,2.76,160,43.88,20.69,27.43,True,False,40.89
11,bdr,U1BE34.SA,UBER TECH INDRN,41.84,2021-12-03,2022-01-04,32 days 00:00:00.000000000,18.47,2022-03-14,10 days 00:00:00.000000000,7.87,31.25,42.59,11.34,4.12,22,10.61,78.68,48.21,False,True,62.46
12,bdr,GOGL34.SA,ALPHABET    DRN A,91.1,2021-05-18,2021-12-23,219 days 00:00:00.000000000,34.72,2022-02-23,29 days 00:00:00.000000000,5.35,13.24,15.41,2.17,13.18,190,29.37,18.45,15.46,False,True,54.98
